"gene","GO"
"VMN1R53","1. response to stimulus"
"VMN1R54","1. response to stimulus"
"VMN1R66","1. response to stimulus"
"VMN1R67","1. response to stimulus"
"VMN1R70","1. response to stimulus"
"VMN1R73","1. response to stimulus"
"VMN1R74","1. response to stimulus"
"VMN1R75","1. response to stimulus"
"VMN1R76","1. response to stimulus"
"VMN1R78","1. response to stimulus"
"VMN1R80","1. response to stimulus"
"VMN1R81","1. response to stimulus"
"VMN1R82","1. response to stimulus"
"VMN1R83","1. response to stimulus"
"VMN1R84","1. response to stimulus"
"VMN1R87","1. response to stimulus"
"VMN1R89","1. response to stimulus"
"VMN1R185","1. response to stimulus"
"VMN1R188","1. response to stimulus"
"VMN1R189","1. response to stimulus"
"VMN1R190-PS","1. response to stimulus"
"VMN1R191","1. response to stimulus"
"VMN1R192","1. response to stimulus"
"VMN1R193","1. response to stimulus"
"VMN1R195","1. response to stimulus"
"VMN1R196","1. response to stimulus"
"VMN1R197","1. response to stimulus"
"VMN1R198","1. response to stimulus"
"VMN1R199","1. response to stimulus"
"VMN1R200","1. response to stimulus"
"VMN1R201","1. response to stimulus"
"VMN1R202","1. response to stimulus"
"VMN1R203","1. response to stimulus"
"VMN1R205","1. response to stimulus"
"VMN1R206","1. response to stimulus"
"VMN1R208","1. response to stimulus"
"VMN1R210","1. response to stimulus"
"VMN1R211","1. response to stimulus"
"VMN1R212","1. response to stimulus"
"VMN1R213","1. response to stimulus"
"VMN1R214","1. response to stimulus"
"VMN1R215","1. response to stimulus"
"VMN1R216","1. response to stimulus"
"VMN1R217","1. response to stimulus"
"VMN1R218","1. response to stimulus"
"VMN1R219","1. response to stimulus"
"VMN1R220","1. response to stimulus"
"VMN1R222","1. response to stimulus"
"VMN1R225","1. response to stimulus"
"VMN1R226","1. response to stimulus"
"VMN1R227","1. response to stimulus"
"VMN1R228","1. response to stimulus"
"VMN1R229","1. response to stimulus"
"VMN1R230","1. response to stimulus"
"VMN1R231","1. response to stimulus"
"VMN1R232","1. response to stimulus"
"VMN1R233","1. response to stimulus"
"VMN1R234","1. response to stimulus"
"VMN1R235","1. response to stimulus"
"VMN1R236","1. response to stimulus"
"VMN1R237","1. response to stimulus"
"VMN2R1","1. response to stimulus"
"VMN2R3","1. response to stimulus"
"VMN2R6","1. response to stimulus"
"VMN2R10","1. response to stimulus"
"VMN2R15","1. response to stimulus"
"VMN2R16","1. response to stimulus"
"VMN2R17","1. response to stimulus"
"VMN2R18","1. response to stimulus"
"VMN2R20","1. response to stimulus"
"VMN2R21","1. response to stimulus"
"VMN2R22","1. response to stimulus"
"VMN2R26","1. response to stimulus"
"VMN2R28","1. response to stimulus"
"VMN2R30","1. response to stimulus"
"VMN2R32","1. response to stimulus"
"VMN2R34","1. response to stimulus"
"VMN2R37","1. response to stimulus"
"VMN2R41","1. response to stimulus"
"VMN2R44","1. response to stimulus"
"VMN2R50","1. response to stimulus"
"VMN2R51","1. response to stimulus"
"VMN2R54","1. response to stimulus"
"VMN2R55","1. response to stimulus"
"VMN2R57","1. response to stimulus"
"VMN2R58","1. response to stimulus"
"VMN2R60","1. response to stimulus"
"VMN2R61","1. response to stimulus"
"VMN2R62","1. response to stimulus"
"VMN2R67","1. response to stimulus"
"VMN2R69","1. response to stimulus"
"VMN2R74","1. response to stimulus"
"VMN2R76","1. response to stimulus"
"VMN2R81","1. response to stimulus"
"VMN2R90","1. response to stimulus"
"VMN2R91","1. response to stimulus"
"VMN2R95","1. response to stimulus"
"VMN2R101","1. response to stimulus"
"VMN2R108","1. response to stimulus"
"VMN2R109","1. response to stimulus"
"VMN2R111","1. response to stimulus"
"VMN2R112","1. response to stimulus"
"VMN2R113","1. response to stimulus"
"VMN2R116","1. response to stimulus"
"VMN2R120","1. response to stimulus"
"VMN2R-PS130","1. response to stimulus"
"VNN1","1. response to stimulus"
"VPREB1","1. response to stimulus"
"VPREB2","1. response to stimulus"
"VPREB3","1. response to stimulus"
"VPS4B","1. response to stimulus"
"VPS13C","1. response to stimulus"
"VPS25","1. response to stimulus"
"VPS26B","1. response to stimulus"
"VPS33B","1. response to stimulus"
"VPS35","1. response to stimulus"
"VRK1","1. response to stimulus"
"VRK2","1. response to stimulus"
"VRK3","1. response to stimulus"
"VSIG4","1. response to stimulus"
"VSIR","1. response to stimulus"
"VSNL1","1. response to stimulus"
"VSTM2A","1. response to stimulus"
"VSTM2L","1. response to stimulus"
"VSX1","1. response to stimulus"
"VSX2","1. response to stimulus"
"VTCN1","1. response to stimulus"
"VTN","1. response to stimulus"
"VWA1","1. response to stimulus"
"VWA2","1. response to stimulus"
"VWC2","1. response to stimulus"
"VWC2L","1. response to stimulus"
"VWF","1. response to stimulus"
"WAC","1. response to stimulus"
"WAPL","1. response to stimulus"
"WAR","1. response to stimulus"
"WAS","1. response to stimulus"
"WASF1","1. response to stimulus"
"WASF2","1. response to stimulus"
"WASHC1","1. response to stimulus"
"WASL","1. response to stimulus"
"WBP2","1. response to stimulus"
"WDFY1","1. response to stimulus"
"WDFY4","1. response to stimulus"
"WDHD1","1. response to stimulus"
"WDPCP","1. response to stimulus"
"WDR4","1. response to stimulus"
"WDR11","1. response to stimulus"
"WDR12","1. response to stimulus"
"WDR19","1. response to stimulus"
"WDR24","1. response to stimulus"
"WDR35","1. response to stimulus"
"WDR45","1. response to stimulus"
"WDR45B","1. response to stimulus"
"WDR48","1. response to stimulus"
"WDR54","1. response to stimulus"
"WDR59","1. response to stimulus"
"WDR61","1. response to stimulus"
"WDR70","1. response to stimulus"
"WDR76","1. response to stimulus"
"WDTC1","1. response to stimulus"
"WFDC1","1. response to stimulus"
"WFDC6A","1. response to stimulus"
"WFDC12","1. response to stimulus"
"WFDC15A","1. response to stimulus"
"WFDC15B","1. response to stimulus"
"WFDC21","1. response to stimulus"
"WFIKKN1","1. response to stimulus"
"WFIKKN2","1. response to stimulus"
"WFS1","1. response to stimulus"
"WHRN","1. response to stimulus"
"WIF1","1. response to stimulus"
"WINCR1","1. response to stimulus"
"WIPF1","1. response to stimulus"
"WIPI1","1. response to stimulus"
"WIPI2","1. response to stimulus"
"WLS","1. response to stimulus"
"WNK1","1. response to stimulus"
"WNK2","1. response to stimulus"
"WNK3","1. response to stimulus"
"WNK4","1. response to stimulus"
"WNT1","1. response to stimulus"
"WNT2","1. response to stimulus"
"WNT2B","1. response to stimulus"
"WNT3","1. response to stimulus"
"WNT3A","1. response to stimulus"
"WNT4","1. response to stimulus"
"WNT5A","1. response to stimulus"
"WNT5B","1. response to stimulus"
"WNT6","1. response to stimulus"
"WNT7A","1. response to stimulus"
"WNT7B","1. response to stimulus"
"WNT8A","1. response to stimulus"
"WNT8B","1. response to stimulus"
"WNT9A","1. response to stimulus"
"WNT9B","1. response to stimulus"
"WNT10A","1. response to stimulus"
"WNT10B","1. response to stimulus"
"WNT11","1. response to stimulus"
"WNT16","1. response to stimulus"
"WRAP53","1. response to stimulus"
"WRN","1. response to stimulus"
"WRNIP1","1. response to stimulus"
"WSB1","1. response to stimulus"
"WSB2","1. response to stimulus"
"WT1","1. response to stimulus"
"WTIP","1. response to stimulus"
"WWC1","1. response to stimulus"
"WWC2","1. response to stimulus"
"WWOX","1. response to stimulus"
"WWTR1","1. response to stimulus"
"XAB2","1. response to stimulus"
"XAF1","1. response to stimulus"
"XBP1","1. response to stimulus"
"XCL1","1. response to stimulus"
"XCR1","1. response to stimulus"
"XDH","1. response to stimulus"
"XIAP","1. response to stimulus"
"XIRP1","1. response to stimulus"
"XPA","1. response to stimulus"
"XPC","1. response to stimulus"
"XPR1","1. response to stimulus"
"XRCC1","1. response to stimulus"
"XRCC2","1. response to stimulus"
"XRCC3","1. response to stimulus"
"XRCC4","1. response to stimulus"
"XRCC5","1. response to stimulus"
"XRCC6","1. response to stimulus"
"XRN2","1. response to stimulus"
"XRRA1","1. response to stimulus"
"XYLT1","1. response to stimulus"
"YAP1","1. response to stimulus"
"YBX1","1. response to stimulus"
"YBX3","1. response to stimulus"
"YES1","1. response to stimulus"
"YOD1","1. response to stimulus"
"YPEL3","1. response to stimulus"
"YTHDC2","1. response to stimulus"
"YTHDF1","1. response to stimulus"
"YTHDF2","1. response to stimulus"
"YTHDF3","1. response to stimulus"
"YWHAB","1. response to stimulus"
"YWHAE","1. response to stimulus"
"YWHAG","1. response to stimulus"
"YWHAH","1. response to stimulus"
"YWHAQ","1. response to stimulus"
"YWHAZ","1. response to stimulus"
"YY1","1. response to stimulus"
"ZAP70","1. response to stimulus"
"ZBED3","1. response to stimulus"
"ZBP1","1. response to stimulus"
"ZBTB1","1. response to stimulus"
"ZBTB3","1. response to stimulus"
"ZBTB4","1. response to stimulus"
"ZBTB5","1. response to stimulus"
"ZBTB7A","1. response to stimulus"
"ZBTB7B","1. response to stimulus"
"ZBTB18","1. response to stimulus"
"ZBTB20","1. response to stimulus"
"ZBTB33","1. response to stimulus"
"ZBTB38","1. response to stimulus"
"ZBTB40","1. response to stimulus"
"ZBTB42","1. response to stimulus"
"ZC3H3","1. response to stimulus"
"ZC3H8","1. response to stimulus"
"ZC3H12A","1. response to stimulus"
"ZC3H15","1. response to stimulus"
"ZC3HAV1","1. response to stimulus"
"ZC3HC1","1. response to stimulus"
"ZCCHC3","1. response to stimulus"
"ZCCHC12","1. response to stimulus"
"ZCCHC18","1. response to stimulus"
"ZDHHC16","1. response to stimulus"
"ZEB1","1. response to stimulus"
"ZEB2","1. response to stimulus"
"ZFAND1","1. response to stimulus"
"ZFAND2A","1. response to stimulus"
"ZFAND2B","1. response to stimulus"
"ZFAND5","1. response to stimulus"
"ZFAND6","1. response to stimulus"
"ZFHX3","1. response to stimulus"
"ZFP13","1. response to stimulus"
"ZFP35","1. response to stimulus"
"ZFP36","1. response to stimulus"
"ZFP36L1","1. response to stimulus"
"ZFP36L2","1. response to stimulus"
"ZFP42","1. response to stimulus"
"ZFP91","1. response to stimulus"
"ZFP106","1. response to stimulus"
"ZFP110","1. response to stimulus"
"ZFP128","1. response to stimulus"
"ZFP277","1. response to stimulus"
"ZFP365","1. response to stimulus"
"ZFP366","1. response to stimulus"
"ZFP385A","1. response to stimulus"
"ZFP385B","1. response to stimulus"
"ZFP423","1. response to stimulus"
"ZFP451","1. response to stimulus"
"ZFP516","1. response to stimulus"
"ZFP536","1. response to stimulus"
"ZFP580","1. response to stimulus"
"ZFP622","1. response to stimulus"
"ZFP640","1. response to stimulus"
"ZFP651","1. response to stimulus"
"ZFP653","1. response to stimulus"
"ZFP683","1. response to stimulus"
"ZFP703","1. response to stimulus"
"ZFP709","1. response to stimulus"
"ZFP791","1. response to stimulus"
"ZFP809","1. response to stimulus"
"ZFP830","1. response to stimulus"
"ZFP950","1. response to stimulus"
"ZFP976","1. response to stimulus"
"ZFP983","1. response to stimulus"
"ZFYVE1","1. response to stimulus"
"ZFYVE9","1. response to stimulus"
"ZFYVE26","1. response to stimulus"
"ZFYVE27","1. response to stimulus"
"ZFYVE28","1. response to stimulus"
"ZGPAT","1. response to stimulus"
"ZIC1","1. response to stimulus"
"ZIC2","1. response to stimulus"
"ZKSCAN3","1. response to stimulus"
"ZMAT3","1. response to stimulus"
"ZMIZ1","1. response to stimulus"
"ZMPSTE24","1. response to stimulus"
"ZMYND8","1. response to stimulus"
"ZMYND11","1. response to stimulus"
"ZNRF3","1. response to stimulus"
"ZP3","1. response to stimulus"
"ZPR1","1. response to stimulus"
"ZRANB1","1. response to stimulus"
"ZRANB3","1. response to stimulus"
"ZSWIM2","1. response to stimulus"
"ZSWIM4","1. response to stimulus"
"ZSWIM5","1. response to stimulus"
"ZSWIM6","1. response to stimulus"
"ZSWIM7","1. response to stimulus"
"ZSWIM8","1. response to stimulus"
"ZYX","1. response to stimulus"
"2810006K23RIK","2. translation"
"AARS","2. translation"
"ABCF1","2. translation"
"ABTB1","2. translation"
"AIRE","2. translation"
"BC1","2. translation"
"BOLL","2. translation"
"C1QBP","2. translation"
"CIRBP","2. translation"
"CNBP","2. translation"
"CPEB1","2. translation"
"CPEB2","2. translation"
"CPEB3","2. translation"
"CPEB4","2. translation"
"CTIF","2. translation"
"CYFIP1","2. translation"
"DAZL","2. translation"
"DENR","2. translation"
"DHFR","2. translation"
"DHX29","2. translation"
"EEF1A1","2. translation"
"EEF1A2","2. translation"
"EEF1B2","2. translation"
"EEF1D","2. translation"
"EEF1G","2. translation"
"EEF2","2. translation"
"EEF2K","2. translation"
"EEFSEC","2. translation"
"EFL1","2. translation"
"EIF1","2. translation"
"EIF1A","2. translation"
"EIF1AD","2. translation"
"EIF1AX","2. translation"
"EIF1B","2. translation"
"EIF2A","2. translation"
"EIF2AK1","2. translation"
"EIF2AK2","2. translation"
"EIF2AK3","2. translation"
"EIF2AK4","2. translation"
"EIF2B1","2. translation"
"EIF2B2","2. translation"
"EIF2B3","2. translation"
"EIF2B4","2. translation"
"EIF2B5","2. translation"
"EIF2D","2. translation"
"EIF2S1","2. translation"
"EIF2S2","2. translation"
"EIF2S3X","2. translation"
"EIF2S3Y","2. translation"
"EIF3A","2. translation"
"EIF3B","2. translation"
"EIF3C","2. translation"
"EIF3D","2. translation"
"EIF3E","2. translation"
"EIF3F","2. translation"
"EIF3G","2. translation"
"EIF3H","2. translation"
"EIF3I","2. translation"
"EIF3K","2. translation"
"EIF3L","2. translation"
"EIF3M","2. translation"
"EIF4A1","2. translation"
"EIF4A2","2. translation"
"EIF4A3","2. translation"
"EIF4B","2. translation"
"EIF4E","2. translation"
"EIF4E1B","2. translation"
"EIF4E2","2. translation"
"EIF4E3","2. translation"
"EIF4EBP1","2. translation"
"EIF4EBP2","2. translation"
"EIF4G1","2. translation"
"EIF4G2","2. translation"
"EIF4G3","2. translation"
"EIF4H","2. translation"
"EIF5","2. translation"
"EIF5A","2. translation"
"EIF5A2","2. translation"
"EIF5B","2. translation"
"EIF6","2. translation"
"ELAVL4","2. translation"
"ETF1","2. translation"
"FMR1","2. translation"
"FXR1","2. translation"
"FXR2","2. translation"
"GFM1","2. translation"
"GFM2","2. translation"
"GM20696","2. translation"
"GSPT1","2. translation"
"GSPT2","2. translation"
"GTPBP1","2. translation"
"GTPBP2","2. translation"
"HBS1L","2. translation"
"IGF2BP1","2. translation"
"IREB2","2. translation"
"LARP1","2. translation"
"MCTS1","2. translation"
"MIF4GD","2. translation"
"MRPL58","2. translation"
"MTIF2","2. translation"
"MTIF3","2. translation"
"MTOR","2. translation"
"MTRF1","2. translation"
"MTRF1L","2. translation"
"NEURL1A","2. translation"
"PAIP1","2. translation"
"PAIP2","2. translation"
"PAIP2B","2. translation"
"PATL1","2. translation"
"PATL2","2. translation"
"PCBP1","2. translation"
"PURA","2. translation"
"PURB","2. translation"
"RARA","2. translation"
"RPL10","2. translation"
"RPL22","2. translation"
"RPS9","2. translation"
"RPS14","2. translation"
"RPS27L","2. translation"
"SAMD4","2. translation"
"SAMD4B","2. translation"
"SHMT1","2. translation"
"TRIM71","2. translation"
"TSFM","2. translation"
"TUFM","2. translation"
"TYMS","2. translation"
"YBX2","2. translation"
"ZCCHC13","2. translation"
"2610042L04RIK","3. synapse organization"
"ABHD17A","3. synapse organization"
"ABHD17B","3. synapse organization"
"ABHD17C","3. synapse organization"
"ABI2","3. synapse organization"
"ABL1","3. synapse organization"
"ABL2","3. synapse organization"
"ACHE","3. synapse organization"
"ACTB","3. synapse organization"
"ACTN1","3. synapse organization"
"ACTR2","3. synapse organization"
"ACTR3","3. synapse organization"
"ADAM10","3. synapse organization"
"ADD2","3. synapse organization"
"ADGRB1","3. synapse organization"
"ADGRB2","3. synapse organization"
"ADGRB3","3. synapse organization"
"ADGRE5","3. synapse organization"
"ADGRF1","3. synapse organization"
"ADGRL1","3. synapse organization"
"ADGRL2","3. synapse organization"
"ADGRL3","3. synapse organization"
"ADNP","3. synapse organization"
"AFDN","3. synapse organization"
"AFG3L2","3. synapse organization"
"AGRN","3. synapse organization"
"ALS2","3. synapse organization"
"AMIGO1","3. synapse organization"
"AMIGO2","3. synapse organization"
"AMIGO3","3. synapse organization"
"ANAPC2","3. synapse organization"
"ANK3","3. synapse organization"
"APBB1","3. synapse organization"
"APOE","3. synapse organization"
"APP","3. synapse organization"
"ARC","3. synapse organization"
"ARF1","3. synapse organization"
"ARF4","3. synapse organization"
"ARF6","3. synapse organization"
"ARHGAP22","3. synapse organization"
"ARHGAP33","3. synapse organization"
"ARHGAP39","3. synapse organization"
"ARHGAP44","3. synapse organization"
"ARHGEF7","3. synapse organization"
"ARHGEF9","3. synapse organization"
"ARHGEF15","3. synapse organization"
"ASIC2","3. synapse organization"
"ATP2B2","3. synapse organization"
"BAIAP2","3. synapse organization"
"BCAN","3. synapse organization"
"BDNF","3. synapse organization"
"BHLHB9","3. synapse organization"
"BSN","3. synapse organization"
"C1QA","3. synapse organization"
"C1QB","3. synapse organization"
"C1QC","3. synapse organization"
"C1QL1","3. synapse organization"
"C1QL3","3. synapse organization"
"C3","3. synapse organization"
"C5AR1","3. synapse organization"
"CABP1","3. synapse organization"
"CACNA1A","3. synapse organization"
"CACNA1S","3. synapse organization"
"CACNA2D2","3. synapse organization"
"CACNB1","3. synapse organization"
"CACNB2","3. synapse organization"
"CACNB3","3. synapse organization"
"CACNB4","3. synapse organization"
"CACNG2","3. synapse organization"
"CADM1","3. synapse organization"
"CALCA","3. synapse organization"
"CAMK1","3. synapse organization"
"CAMK2B","3. synapse organization"
"CAMKV","3. synapse organization"
"CAPRIN1","3. synapse organization"
"CAPRIN2","3. synapse organization"
"CASK","3. synapse organization"
"CBLN1","3. synapse organization"
"CBLN2","3. synapse organization"
"CDC20","3. synapse organization"
"CDC42","3. synapse organization"
"CDH1","3. synapse organization"
"CDH2","3. synapse organization"
"CDH8","3. synapse organization"
"CDH9","3. synapse organization"
"CDK5","3. synapse organization"
"CDK5R1","3. synapse organization"
"CDKL5","3. synapse organization"
"CEL","3. synapse organization"
"CFL1","3. synapse organization"
"CHAT","3. synapse organization"
"CHCHD10","3. synapse organization"
"CHD4","3. synapse organization"
"CHMP2B","3. synapse organization"
"CHMP4B","3. synapse organization"
"CHRNA1","3. synapse organization"
"CHRNA7","3. synapse organization"
"CHRNB1","3. synapse organization"
"CHRNB2","3. synapse organization"
"CLSTN1","3. synapse organization"
"CLSTN2","3. synapse organization"
"CLSTN3","3. synapse organization"
"CNKSR2","3. synapse organization"
"CNTN2","3. synapse organization"
"CNTN5","3. synapse organization"
"CNTNAP4","3. synapse organization"
"COL4A1","3. synapse organization"
"COL4A5","3. synapse organization"
"COLQ","3. synapse organization"
"CRIPT","3. synapse organization"
"CRKL","3. synapse organization"
"CTNNA2","3. synapse organization"
"CTNNB1","3. synapse organization"
"CTNND2","3. synapse organization"
"CTTN","3. synapse organization"
"CTTNBP2","3. synapse organization"
"CUX2","3. synapse organization"
"CX3CR1","3. synapse organization"
"CYFIP1","3. synapse organization"
"DAB2IP","3. synapse organization"
"DACT1","3. synapse organization"
"DAG1","3. synapse organization"
"DBN1","3. synapse organization"
"DBNL","3. synapse organization"
"DCTN1","3. synapse organization"
"DGKB","3. synapse organization"
"DGKZ","3. synapse organization"
"DHX36","3. synapse organization"
"DISC1","3. synapse organization"
"DKK1","3. synapse organization"
"DLG4","3. synapse organization"
"DLG5","3. synapse organization"
"DLGAP3","3. synapse organization"
"DMPK","3. synapse organization"
"DNAJA3","3. synapse organization"
"DNM1L","3. synapse organization"
"DNM3","3. synapse organization"
"DOCK10","3. synapse organization"
"DOK7","3. synapse organization"
"DRD1","3. synapse organization"
"DRD2","3. synapse organization"
"DRP2","3. synapse organization"
"DTNBP1","3. synapse organization"
"DVL1","3. synapse organization"
"EEF2K","3. synapse organization"
"EFNA1","3. synapse organization"
"EFNA5","3. synapse organization"
"EFNB1","3. synapse organization"
"EFNB2","3. synapse organization"
"EGLN1","3. synapse organization"
"EIF4G1","3. synapse organization"
"ELFN1","3. synapse organization"
"EPHA3","3. synapse organization"
"EPHA4","3. synapse organization"
"EPHA5","3. synapse organization"
"EPHA7","3. synapse organization"
"EPHB1","3. synapse organization"
"EPHB2","3. synapse organization"
"EPHB3","3. synapse organization"
"ERBB2","3. synapse organization"
"ERBB4","3. synapse organization"
"ETV5","3. synapse organization"
"F2R","3. synapse organization"
"FARP1","3. synapse organization"
"FBXO45","3. synapse organization"
"FCGR2B","3. synapse organization"
"FGFR2","3. synapse organization"
"FILIP1","3. synapse organization"
"FLNA","3. synapse organization"
"FLRT1","3. synapse organization"
"FLRT2","3. synapse organization"
"FLRT3","3. synapse organization"
"FMR1","3. synapse organization"
"FRMPD4","3. synapse organization"
"FYN","3. synapse organization"
"FZD1","3. synapse organization"
"FZD5","3. synapse organization"
"FZD9","3. synapse organization"
"GABRA1","3. synapse organization"
"GABRB2","3. synapse organization"
"GABRB3","3. synapse organization"
"GABRG2","3. synapse organization"
"GAP43","3. synapse organization"
"GDNF","3. synapse organization"
"GET1","3. synapse organization"
"GHRL","3. synapse organization"
"GHSR","3. synapse organization"
"GJA10","3. synapse organization"
"GLRA3","3. synapse organization"
"GLRB","3. synapse organization"
"GNPAT","3. synapse organization"
"GPC4","3. synapse organization"
"GPC6","3. synapse organization"
"GPHN","3. synapse organization"
"GPM6A","3. synapse organization"
"GRID2","3. synapse organization"
"GRIN1","3. synapse organization"
"GRIN2A","3. synapse organization"
"GRIN2B","3. synapse organization"
"GRIP2","3. synapse organization"
"GRIPAP1","3. synapse organization"
"GRM5","3. synapse organization"
"GSK3B","3. synapse organization"
"HCLS1","3. synapse organization"
"HDAC6","3. synapse organization"
"HNRNPK","3. synapse organization"
"HOMER1","3. synapse organization"
"HSPA8","3. synapse organization"
"HTR1A","3. synapse organization"
"IGF1R","3. synapse organization"
"IGSF9","3. synapse organization"
"IGSF9B","3. synapse organization"
"IGSF21","3. synapse organization"
"IL1RAP","3. synapse organization"
"IL1RAPL1","3. synapse organization"
"IL1RAPL2","3. synapse organization"
"IL10","3. synapse organization"
"IL10RA","3. synapse organization"
"INS2","3. synapse organization"
"INSR","3. synapse organization"
"IQSEC3","3. synapse organization"
"ITGA3","3. synapse organization"
"ITGAM","3. synapse organization"
"ITPKA","3. synapse organization"
"ITSN1","3. synapse organization"
"KALRN","3. synapse organization"
"KIRREL3","3. synapse organization"
"KLK8","3. synapse organization"
"KY","3. synapse organization"
"L1CAM","3. synapse organization"
"LAMB2","3. synapse organization"
"LGMN","3. synapse organization"
"LHFPL4","3. synapse organization"
"LINGO2","3. synapse organization"
"LINGO4","3. synapse organization"
"LMX1A","3. synapse organization"
"LMX1B","3. synapse organization"
"LRFN1","3. synapse organization"
"LRFN2","3. synapse organization"
"LRFN3","3. synapse organization"
"LRFN4","3. synapse organization"
"LRFN5","3. synapse organization"
"LRP4","3. synapse organization"
"LRP5","3. synapse organization"
"LRP8","3. synapse organization"
"LRRC4","3. synapse organization"
"LRRC4B","3. synapse organization"
"LRRC4C","3. synapse organization"
"LRRC24","3. synapse organization"
"LRRK2","3. synapse organization"
"LRRN1","3. synapse organization"
"LRRN3","3. synapse organization"
"LRRTM1","3. synapse organization"
"LRRTM2","3. synapse organization"
"LRRTM3","3. synapse organization"
"LRRTM4","3. synapse organization"
"LRTM1","3. synapse organization"
"LRTM2","3. synapse organization"
"LZTS3","3. synapse organization"
"MAGI2","3. synapse organization"
"MALAT1","3. synapse organization"
"MAPK14","3. synapse organization"
"MAPT","3. synapse organization"
"MDGA1","3. synapse organization"
"MDGA2","3. synapse organization"
"MECP2","3. synapse organization"
"MEF2C","3. synapse organization"
"MESD","3. synapse organization"
"MFN1","3. synapse organization"
"MTMR2","3. synapse organization"
"MUSK","3. synapse organization"
"MYH10","3. synapse organization"
"MYO5A","3. synapse organization"
"MYO5B","3. synapse organization"
"MYO6","3. synapse organization"
"NCAN","3. synapse organization"
"NDRG1","3. synapse organization"
"NDRG2","3. synapse organization"
"NECTIN1","3. synapse organization"
"NEDD4","3. synapse organization"
"NEFL","3. synapse organization"
"NEURL1A","3. synapse organization"
"NEUROD2","3. synapse organization"
"NFASC","3. synapse organization"
"NFATC4","3. synapse organization"
"NFIA","3. synapse organization"
"NGEF","3. synapse organization"
"NLGN1","3. synapse organization"
"NLGN2","3. synapse organization"
"NLGN3","3. synapse organization"
"NLGN4L","3. synapse organization"
"NPAS4","3. synapse organization"
"NPTN","3. synapse organization"
"NPTX1","3. synapse organization"
"NPTXR","3. synapse organization"
"NRCAM","3. synapse organization"
"NRG1","3. synapse organization"
"NRG2","3. synapse organization"
"NRP1","3. synapse organization"
"NRP2","3. synapse organization"
"NRXN1","3. synapse organization"
"NRXN2","3. synapse organization"
"NRXN3","3. synapse organization"
"NTN1","3. synapse organization"
"NTNG1","3. synapse organization"
"NTNG2","3. synapse organization"
"NTRK1","3. synapse organization"
"NTRK2","3. synapse organization"
"NTRK3","3. synapse organization"
"NUMB","3. synapse organization"
"OPA1","3. synapse organization"
"OPHN1","3. synapse organization"
"OXT","3. synapse organization"
"OXTR","3. synapse organization"
"P2RX2","3. synapse organization"
"PAFAH1B1","3. synapse organization"
"PAK1","3. synapse organization"
"PAK3","3. synapse organization"
"PALLD","3. synapse organization"
"PALM","3. synapse organization"
"PCDH8","3. synapse organization"
"PCDH17","3. synapse organization"
"PCDHB16","3. synapse organization"
"PCDHGC3","3. synapse organization"
"PCDHGC4","3. synapse organization"
"PCDHGC5","3. synapse organization"
"PCLO","3. synapse organization"
"PDGFB","3. synapse organization"
"PDLIM5","3. synapse organization"
"PDZRN3","3. synapse organization"
"PFN1","3. synapse organization"
"PFN2","3. synapse organization"
"PGRMC1","3. synapse organization"
"PICALM","3. synapse organization"
"PICK1","3. synapse organization"
"PIN1","3. synapse organization"
"PLXNB1","3. synapse organization"
"PLXNB2","3. synapse organization"
"PLXND1","3. synapse organization"
"PMP22","3. synapse organization"
"PPFIA1","3. synapse organization"
"PPFIA2","3. synapse organization"
"PPFIA3","3. synapse organization"
"PPFIA4","3. synapse organization"
"PPFIBP1","3. synapse organization"
"PPFIBP2","3. synapse organization"
"PPP1R9A","3. synapse organization"
"PRKCA","3. synapse organization"
"PRMT3","3. synapse organization"
"PRNP","3. synapse organization"
"PSEN1","3. synapse organization"
"PTEN","3. synapse organization"
"PTK2","3. synapse organization"
"PTN","3. synapse organization"
"PTPRD","3. synapse organization"
"PTPRF","3. synapse organization"
"PTPRO","3. synapse organization"
"PTPRS","3. synapse organization"
"RAB3A","3. synapse organization"
"RAB17","3. synapse organization"
"RAB29","3. synapse organization"
"RAB39B","3. synapse organization"
"RAPGEF4","3. synapse organization"
"RAPSN","3. synapse organization"
"RELN","3. synapse organization"
"RER1","3. synapse organization"
"REST","3. synapse organization"
"RHEB","3. synapse organization"
"RHOA","3. synapse organization"
"RIMS3","3. synapse organization"
"RIMS4","3. synapse organization"
"ROCK2","3. synapse organization"
"RPH3A","3. synapse organization"
"SDCBP","3. synapse organization"
"SDK1","3. synapse organization"
"SDK2","3. synapse organization"
"SEMA3E","3. synapse organization"
"SEMA3F","3. synapse organization"
"SEMA4A","3. synapse organization"
"SEMA4D","3. synapse organization"
"SEPTIN7","3. synapse organization"
"SEPTIN11","3. synapse organization"
"SEZ6","3. synapse organization"
"SEZ6L","3. synapse organization"
"SEZ6L2","3. synapse organization"
"SHANK1","3. synapse organization"
"SHANK2","3. synapse organization"
"SHANK3","3. synapse organization"
"SHISA6","3. synapse organization"
"SHISA7","3. synapse organization"
"SIPA1L1","3. synapse organization"
"SIX1","3. synapse organization"
"SIX4","3. synapse organization"
"SLC7A11","3. synapse organization"
"SLC9A6","3. synapse organization"
"SLC25A46","3. synapse organization"
"SLITRK1","3. synapse organization"
"SLITRK2","3. synapse organization"
"SLITRK3","3. synapse organization"
"SLITRK4","3. synapse organization"
"SLITRK5","3. synapse organization"
